"MJD","Year","Month","Day","YY.MMDD","X","timestamp","LOD[msec]","sigma_LOD[msec]"
37859,1962,7,14,62.0714,194,1962-07-14,0.585,1.4
37860,1962,7,15,62.0715,195,1962-07-15,0.534,1.4
37861,1962,7,16,62.0716,196,1962-07-16,0.52,1.4
37862,1962,7,17,62.0717,197,1962-07-17,0.575,1.4
37863,1962,7,18,62.0718,198,1962-07-18,0.69,1.4
37864,1962,7,19,62.0719,199,1962-07-19,0.87,1.4
37865,1962,7,20,62.0720,200,1962-07-20,1.068,1.4
37866,1962,7,21,62.0721,201,1962-07-21,1.227,1.4
37867,1962,7,22,62.0722,202,1962-07-22,1.316,1.4
37868,1962,7,23,62.0723,203,1962-07-23,1.317,1.4
37869,1962,7,24,62.0724,204,1962-07-24,1.226,1.4
37870,1962,7,25,62.0725,205,1962-07-25,1.087,1.4
37871,1962,7,26,62.0726,206,1962-07-26,0.912,1.4
37872,1962,7,27,62.0727,207,1962-07-27,0.756,1.4
37873,1962,7,28,62.0728,208,1962-07-28,0.628,1.4
37874,1962,7,29,62.0729,209,1962-07-29,0.554,1.4
37875,1962,7,30,62.0730,210,1962-07-30,0.537,1.4
37876,1962,7,31,62.0731,211,1962-07-31,0.567,1.4
37877,1962,8,1,62.0801,212,1962-08-01,0.62,1.4
37878,1962,8,2,62.0802,213,1962-08-02,0.688,1.4
37879,1962,8,3,62.0803,214,1962-08-03,0.758,1.4
37880,1962,8,4,62.0804,215,1962-08-04,0.816,1.4
37881,1962,8,5,62.0805,216,1962-08-05,0.85,1.4
37882,1962,8,6,62.0806,217,1962-08-06,0.844,1.4
37883,1962,8,7,62.0807,218,1962-08-07,0.816,1.4
37884,1962,8,8,62.0808,219,1962-08-08,0.753,1.4
37885,1962,8,9,62.0809,220,1962-08-09,0.672,1.4
37886,1962,8,10,62.0810,221,1962-08-10,0.595,1.4
37887,1962,8,11,62.0811,222,1962-08-11,0.525,1.4
37888,1962,8,12,62.0812,223,1962-08-12,0.481,1.4
37889,1962,8,13,62.0813,224,1962-08-13,0.497,1.4
37890,1962,8,14,62.0814,225,1962-08-14,0.582,1.4
37891,1962,8,15,62.0815,226,1962-08-15,0.737,1.4
37892,1962,8,16,62.0816,227,1962-08-16,0.926,1.4
37893,1962,8,17,62.0817,228,1962-08-17,1.116,1.4
37894,1962,8,18,62.0818,229,1962-08-18,1.233,1.4
37895,1962,8,19,62.0819,230,1962-08-19,1.26,1.4
37896,1962,8,20,62.0820,231,1962-08-20,1.18,1.4
37897,1962,8,21,62.0821,232,1962-08-21,1.029,1.4
37898,1962,8,22,62.0822,233,1962-08-22,0.841,1.4
37899,1962,8,23,62.0823,234,1962-08-23,0.67,1.4
37900,1962,8,24,62.0824,235,1962-08-24,0.549,1.4
